Symbol,Date,Open,High,Low,Close,Volume
AAA,29-Aug-2023,24.83,24.86,24.83,24.85,2000
AAAU,29-Aug-2023,19.01,19.21,19,19.205,1139100
AAMC,29-Aug-2023,8.92,9.5,8.51,8.89,38300
AAU,29-Aug-2023,0.129,0.129,0.122,0.1259,68400
ABEQ,29-Aug-2023,28.0241,28.17,28.0241,28.16,7800
ACA.W,29-Aug-2023,0.15,0.36,0.14,0.35,616600
ACAQ,29-Aug-2023,11.4,11.5,11.4,11.5,300
ACES,29-Aug-2023,40.28,41.99,40.04,41.9,122700
ACIO,29-Aug-2023,31.14,31.48,31.1302,31.46,96100
ACSI,29-Aug-2023,46.39,46.4306,46.39,46.4306,100
ACTV,29-Aug-2023,31.73,32.0199,31.73,31.9907,5800
ACU,29-Aug-2023,30.72,31.1217,29.82,30.74,9500
ACVF,29-Aug-2023,34.16,34.63,34.16,34.6142,2500
ACWV,29-Aug-2023,97.47,98.1899,97.47,98.12,154100
ADE.W,29-Aug-2023,0.0587,0.0587,0.0587,0.0587,100
ADEX,29-Aug-2023,10.6,10.6,10.59,10.6,700
ADFI,29-Aug-2023,8.41,8.41,8.39,8.395,6600
ADIV,29-Aug-2023,13.38,13.55,13.38,13.55,400
ADME,29-Aug-2023,36.27,36.75,36.27,36.7293,23300
ADPV,29-Aug-2023,24.81,25.1089,24.81,25.1089,88400
ADRT,29-Aug-2023,11.49,11.5,11.35,11.37,20100
AE,29-Aug-2023,36.21,36.75,36.208,36.75,1200
AEF,29-Aug-2023,5.13,5.1793,5.1299,5.16,100400
AEMB,29-Aug-2023,37.39,37.39,37.39,37.39,100
AEO.W,29-Aug-2023,0.15,0.15,0.1026,0.135,8500
AEON,29-Aug-2023,4.27,4.35,3.8373,4.02,76800
AESR,29-Aug-2023,12.72,12.89,12.7,12.89,104600
AFIF,29-Aug-2023,8.93,8.98,8.91,8.95,44300
AFK,29-Aug-2023,14.6,14.822,14.55,14.8,5800
AFLG,29-Aug-2023,25.6498,25.6498,25.6498,25.6498,0
AFMC,29-Aug-2023,25.02,25.15,24.88,25.083,51600
AFSM,29-Aug-2023,24.9675,24.9675,24.9675,24.9675,100
AFTY,29-Aug-2023,15.1,15.1248,15.09,15.1248,1100
AGE,29-Aug-2023,0.7,0.75,0.6333,0.7201,10800
AGG,29-Aug-2023,95.91,96.71,95.91,96.7,7386300
AGGH,29-Aug-2023,22.11,22.11,22.04,22.085,1000
AGGY,29-Aug-2023,42.29,42.575,42.29,42.57,106800
AGIH,29-Aug-2023,24.18,24.18,24.18,24.18,100
AGOV,29-Aug-2023,74.44,75.1504,74.335,74.9,4400
AGOX,29-Aug-2023,23.43,23.6799,23.3763,23.62,15800
AGQ,29-Aug-2023,29.92,31.22,29.8,31.12,1212300
AGRH,29-Aug-2023,25.715,25.715,25.715,25.715,0
AGZ,29-Aug-2023,106.27,106.8,106.27,106.78,133100
AHOY,29-Aug-2023,20.51,20.67,20.51,20.636,1300
AHYB,29-Aug-2023,44.3191,44.3191,44.3191,44.3191,400
AIDB,29-Aug-2023,26.78,26.8328,26.78,26.8328,1200
AIEQ,29-Aug-2023,30.78,31.37,30.78,31.3161,15800
AIM,29-Aug-2023,0.67,0.68,0.641,0.68,57400
AINC,29-Aug-2023,8.53,8.84,8.53,8.8017,1800
AIRI,29-Aug-2023,2.95,2.96,2.9,2.9,3000
AIVI,29-Aug-2023,38.46,38.9545,38.46,38.9229,2200
AIVL,29-Aug-2023,93.5,94.42,93.5,94.3785,3400
ALTL,29-Aug-2023,36.19,37.09,36.19,37.08,45200
AMAX,29-Aug-2023,7.5,7.62,7.5,7.5985,17400
AMB.V,29-Aug-2023,0.6,0.6161,0.56,0.56,30000
AMBI,29-Aug-2023,10.01,10.3,9.61,9.61,4000
AMBO,29-Aug-2023,0.188,0.1948,0.188,0.1944,11200
AMJ,29-Aug-2023,23.83,23.9,23.74,23.88,133700
AMLP,29-Aug-2023,41,41.17,40.85,41.17,1785500
AMNA,29-Aug-2023,37.8942,37.8942,37.8942,37.8942,0
AMND,29-Aug-2023,39.1249,39.1249,39.1249,39.1249,0
AMOM,29-Aug-2023,31.26,31.5464,31.26,31.5464,800
AMPD,29-Aug-2023,25.0149,25.0149,25.0149,25.0149,100
AMPE,29-Aug-2023,0.18,0.194,0.17,0.1701,334700
AMS,29-Aug-2023,2.58,2.61,2.58,2.61,500
AMTR,29-Aug-2023,50.4384,50.4384,50.4384,50.4384,0
AMUB,29-Aug-2023,15.02,15.0504,15.02,15.0504,3000
AMZA,29-Aug-2023,34.02,34.21,33.8341,34.2,36400
AMZY,29-Aug-2023,21.2,21.43,21.19,21.42,45200
ANEW,29-Aug-2023,36.27,36.3792,36.27,36.3792,200
AOA,29-Aug-2023,65.24,66.1488,65.24,66.09,92900
AOK,29-Aug-2023,34.68,35.01,34.68,35.01,347900
AOM,29-Aug-2023,39.74,40.188,39.74,40.15,71200
AOR,29-Aug-2023,50.57,51.18,50.57,51.16,187400
AP.W,29-Aug-2023,0.4,0.4,0.35,0.35,4500
APCB,29-Aug-2023,29.114,29.17,29.114,29.161,3900
APIE,29-Aug-2023,25.21,25.4792,25.13,25.22,3400
APLY,29-Aug-2023,20.3,20.45,20.2432,20.44,164400
APMU,29-Aug-2023,24.4,24.4,24.38,24.385,2900
APRD,29-Aug-2023,25.2075,25.2075,25.2075,25.2075,100
APRH,29-Aug-2023,25.045,25.045,25.045,25.045,100
APRJ,29-Aug-2023,24.92,24.93,24.8881,24.89,16500
APRQ,29-Aug-2023,24.76,24.76,24.76,24.76,100
APRT,29-Aug-2023,31.52,31.7371,31.52,31.7371,6600
APRW,29-Aug-2023,28.338,28.4,28.31,28.3806,6300
